index,random_latitude,random_longitude,snapped_latitude,snapped_longitude,snap_distance_m,experiment_id,incident_size,amb_velocity,uav_velocity,total_samples,random_seed,is_use_time,uav_size,scenario_gen_time_sec,simulation_time_sec,api_call_count,status,failure_reason,평균 시나리오 생성 시간(초),평균 시뮬레이션 실행 시간(초),평균 API 호출 수,전체 좌표 수,실험 성공 수,성공률(%)
698,36.28668001,127.4065287,36.28669,127.406489,3.725858746,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.17,0.7,35,success,,,,,,,
699,36.28119597,127.4445066,36.281094,127.443952,50.99146208,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.15,0.68,35,success,,,,,,,
700,36.27324748,127.36476,36.274373,127.362713,222.1198263,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.26,0.7,35,success,,,,,,,
701,36.32479029,127.3071522,36.325193,127.307065,45.45504811,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.1,0.68,36,success,,,,,,,
702,36.28562645,127.3750352,36.285415,127.374788,32.30465873,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.16,0.69,35,success,,,,,,,
703,36.36556137,127.430847,36.365593,127.431015,15.44407202,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.19,0.69,38,success,,,,,,,
704,36.41990912,127.3464173,36.420054,127.346343,17.42873426,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.12,0.71,37,success,,,,,,,
705,36.27379214,127.4081439,36.27465,127.409134,130.2953789,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,41.29,0.71,36,success,,,,,,,
706,36.23486455,127.3092857,36.234938,127.309611,30.29418439,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.46,0.7,35,success,,,,,,,
707,36.30079306,127.3998956,36.300242,127.399769,62.31602595,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.14,0.68,35,success,,,,,,,
708,36.29454852,127.2897372,36.294707,127.289993,28.91224384,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.27,0.68,36,success,,,,,,,
709,36.38945769,127.3098066,36.389485,127.309894,8.394408757,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.75,0.68,38,success,,,,,,,
710,36.32548823,127.4349169,36.325486,127.434912,0.504138502,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.43,0.67,35,success,,,,,,,
711,36.4795025,127.4011775,36.479345,127.402151,88.77974087,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.25,0.69,38,success,,,,,,,
712,36.32135054,127.2715992,36.321775,127.272336,81.14456229,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.69,36,success,,,,,,,
713,36.33732824,127.3886238,36.337522,127.388876,31.21565973,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.11,0.69,36,success,,,,,,,
